ID,ra,dec
160074159,346.333706819915,-41.1632077185803
160074169,346.233716986939,-41.1117224824065
160074283,346.304225469699,-40.449925386639
160074401,346.333894138703,-39.9134996425485
160074646,346.326126494813,-38.6600886324415
160074661,346.25714186648,-38.5600821944248
160074709,346.225571354799,-38.2696135707601
160074951,346.22450491287,-36.8839144731618
9056420,349.941734444526,-23.7149105996391
325414765,346.05348360223,-83.589906943438
392793272,345.871325859914,-75.2395396205787
392793840,345.980650017215,-73.622737109686
392813712,345.973193592779,-72.1525166249887
392813939,346.728099609086,-72.3963116400471
301134977,349.370637719879,-4.38429820026447
4553159,347.97007536648,-6.61576614028104
4553412,348.035422931439,-7.9300009786475
4553533,347.98397143735,-8.60501550729466
4553539,348.072132382688,-8.63178706249519
4553899,348.032310720481,-10.3349134921138
4554158,347.996833828048,-11.6169430176948
4554282,348.214081577047,-6.14596530486802
4554400,348.316759851309,-6.70506026326342
260890599,350.095567751685,-69.5478498342889
260890677,350.343572074686,-69.8047819171923
328010629,352.414631417798,-16.0351792518742
328010802,352.365751970019,-16.8186245424275
328010952,352.412364966371,-17.5569011560041
328010967,352.438896893093,-17.5907528026933
328011044,352.365705336436,-17.9419383097004
355493455,352.585943397449,-53.9557402026141
355493801,352.699380116578,-52.4491011094881
355493965,352.657100883414,-51.7120817893691
261563895,349.713509152762,-75.4973549097694
261590581,349.894653677707,-73.0782518714512
261590714,350.061859848316,-72.6598020805092
